FLCSX,mg_average,PRCOX,HAIAX,DFUSX,VPMCX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
6914.858653777069,264053.8124681276,9291.178920424783,8651.62114909243,8359.175142286962,10479.669491081147,13415.85256704781,9224.033167639518,8706.180775354238,9390.807192487451,7110.155208034758,9928.898648016202,8384.852845663532
7202.979655101854,264053.8124681276,9671.78050624409,9024.605795887222,8698.445158133905,10856.893904421735,13498.492639431532,9514.552273589712,9117.57049449544,9734.372402335945,7370.280519443835,10385.827932376844,8593.247617119352
7390.003474779696,264053.8124681276,9932.982065434971,9324.616169869774,8915.197873428733,11191.007637077832,14079.244641551773,9689.868822851999,9308.914863494485,9938.878095114082,7535.815248236796,10781.008152418435,8801.641762321218
7253.034129731551,264053.8124681276,9775.648630133515,9210.938704789496,8774.051210068917,10763.550837735063,13886.864049165317,9706.546804658008,9080.34828921162,9831.032971348055,7420.508398383445,10540.194375649731,8655.06076135071
7298.840717695368,264053.8124681276,9940.952164204306,9390.584873962855,8964.173051027714,11002.377352927788,14091.590551882422,10046.596089073531,9204.99713050118,10095.620742788842,7563.976892583131,10725.435916311664,8854.599675612975
7176.686455123871,264053.8124681276,9760.620617309489,9210.938704789496,8783.558191173694,10828.682353865352,13943.735614767407,9810.590217128265,9032.403949323325,9930.253216615884,7412.5367710115825,10509.322669637813,8630.118318786184
6983.273998773953,264053.8124681276,9580.284463421163,9047.62505633689,8639.950486778374,10499.391199784253,13749.160918004582,9716.163574541972,8821.456644648322,9864.109992249982,7285.010564183814,10243.810623692341,8405.63570945148
7232.675366080856,264053.8124681276,9925.92760662541,9374.255242930834,8906.68005037462,11063.89337310817,14034.769222581026,9964.90580499605,9176.232474276578,10029.474814063455,7516.1568020700215,10645.165411028125,8704.94502022581
7247.943388401799,264053.8124681276,9948.468474113073,9480.408921779112,8887.62591596727,10940.86215445103,14029.062650369468,9883.681623052376,9243.352003116934,9839.30357875328,7508.182272582739,10799.532984760055,8555.290364838645
7579.5407324432235,264053.8124681276,10309.139630141348,9823.372592323389,9257.470267140507,11617.539198138875,14646.814366821665,10109.58390732948,9713.190203236627,10246.17716813402,7795.609718488033,11194.71094388356,8804.717921753701
7548.912251098421,264053.8124681276,10166.372356564712,9798.871884783102,9171.397052717317,11588.592222838135,14434.540199359364,10119.736459262203,9617.30601817167,10196.074175983355,7715.738665280359,11040.34337015163,8692.473798943547
7650.991782797278,264053.8124681276,10241.512420684849,9896.861229730159,9200.087904671507,11722.479789788493,14302.592518973028,10216.18852748449,9713.190203236627,10262.88064451377,7715.738665280359,11163.836976953557,8692.473798943547
7584.641557776931,264053.8124681276,10098.748602353346,9619.227642068898,9091.078340988333,11566.877882844456,14120.96928362492,10033.43694297264,9607.715052661915,10112.568287612417,7602.633553658712,11003.297096845521,8692.473798943547
7941.9253808917365,264053.8124681276,10466.93146129688,9978.519017186038,9437.033405684999,12013.779476768714,14155.531858504162,10272.029446355411,9981.669067716652,10446.59386936578,7891.951244074002,11281.159407838422,9029.199904834448
7967.44631423353,264053.8124681276,10406.81941000077,9945.85397574453,9379.37510631638,11816.564033144896,14279.862629514613,10089.274095361672,9818.664604692734,10371.435662645488,7779.436229254349,10929.201158856175,8829.660364318228
8269.404249651367,264053.8124681276,10700.501425173443,10205.78629345502,9690.533803554397,12840.989337738103,15062.248207514482,10356.173593383799,10291.945753924576,10748.567382463298,8103.929493299354,11750.4626968864,9035.32717354117
8207.922077540108,264053.8124681276,10730.707178110517,10197.609437569286,9709.875728952518,12824.133731278922,15159.424221391648,10299.583144616898,10311.38088703284,10875.022556048358,8103.929493299354,11660.074583165837,9035.32717354117
8402.61730322642,264053.8124681276,10896.842274509552,10295.742303723431,9806.586673064365,13069.492790290224,15293.040561603824,10384.47117181843,10447.442550281403,11018.33332623439,8177.303193768346,11795.658449435245,9161.872431693384
8479.470858699155,264053.8124681276,11047.871039194919,10393.874206647999,9967.874095853893,13301.737459446873,15599.9965785006,10595.820711695585,10525.18757742609,11136.360363474028,8303.625506382865,11892.50035383368,9313.727117228414
8120.822333715825,264053.8124681276,10715.604301641979,10099.479461103874,9676.9806260027,12696.775421332643,15148.871882769654,10405.23296161296,10175.32371849591,10908.742538418639,8058.197958516582,11440.557524312782,9047.98188723258
8105.452631021673,264053.8124681276,10715.604301641979,10107.653427300875,9647.890686313023,12696.775421332643,15161.068441936068,10487.648293454136,10214.195482949648,10807.583943487542,8066.378538198659,11440.557524312782,9123.907038111247
8079.573715539492,264053.8124681276,10791.11983573304,10115.831246416185,9754.451063051845,12518.842896676193,15232.451509750186,10819.898135497304,10194.760349841386,11191.549579732395,8115.464918406542,11421.19163044299,9187.181232822246
8274.634486369157,264053.8124681276,11047.871039194919,10336.627546381671,9988.319110289873,12781.055097035804,15758.338682820488,11049.122456800807,10408.567040234637,11472.615013535658,8303.625506382865,11731.093411639476,9465.579297747621
8449.160023478922,264053.8124681276,11319.725119125336,10541.073024264428,10192.957602986862,13166.88849925529,16033.510056492756,11103.207253490822,10661.250738911865,11677.026729821575,8516.33218657855,12060.364478082885,9769.289295071638
8767.415389954735,264053.8124681276,11682.197609615348,10786.404708035001,10573.146624373026,13490.905137767651,16582.594180844164,11419.99662899871,11088.865617935578,12017.716529444086,8786.29953874745,12473.567606650897,10098.306841016603
8988.140791182546,264053.8124681276,11969.158021259433,10966.315765342248,10768.949209236629,13829.91129380687,15999.566610076152,11620.897006494357,11292.95399265609,12213.608161161977,8958.099934731425,12809.294724690264,10250.160274043721
8993.276910530096,264053.8124681276,11999.36262244813,11056.271775610661,10857.055400292573,12914.03632488781,16015.475224542686,11278.347719724783,11088.865617935578,12409.501145059612,8647.221461491783,12047.451244431923,10199.540166770175
