FLCSX,HAIAX,DFUSX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
7076.318334136272,8805.683595559818,8239.632675984509,13278.877650744842,9362.537766057318,8658.346354889449,9236.471011785943,7042.079605405209,9669.562299823965,8495.176968084346
6899.911739770221,8684.059451317304,8127.030671536853,13059.269043015025,9379.313682711068,8476.567454132772,9122.842553795655,6901.565478295662,9478.149018015447,8470.659753491427
7010.793327785452,8675.951945618353,8239.261247819506,13211.565099303563,9394.340067868263,8620.075377823643,9139.074804314132,6987.738950486821,9638.690593812047,8519.695435185098
7136.798818356616,8870.550383760406,8370.191651664656,13260.515608957483,9494.518166031481,8782.718040928701,9285.172495973036,7089.58045862706,9848.629273191706,8605.504746879438
6778.381865535376,8513.782567042243,8119.498055665754,12945.13355656348,9229.04606465583,8447.865719570853,9112.685650153726,6883.624118821107,9453.449618379636,8323.558344695666
6737.944176139957,8505.674098113437,8147.654154542566,13318.281908120818,9279.134642927023,8476.567454132772,9169.949141111863,6930.772365053581,9434.925916497059,8323.558344695666
6773.325998902356,8594.867256330299,8203.976230704833,13367.672324720843,9153.910372386554,8572.238903847541,9317.18942527259,6977.9196439143425,9657.215426153667,8274.523289255912
6914.858752119847,8651.62364914237,8359.171298981759,13415.84756626913,9224.039466718694,8706.180581509398,9390.812271713905,7110.153552846743,9928.900908934289,8384.851694304922
7202.978444520803,9024.609366948,8698.43931680399,13498.490331687122,9514.55962371325,9117.571860523984,9734.380371748217,7370.279806463746,10385.829062835886,8593.247078963856
7390.003073099689,9324.617901164525,8915.19662774837,14079.239460630637,9689.872472524916,9308.91550907224,9938.880766415892,7535.815970300915,10781.007021959393,8801.64183736887
7253.034591405052,9210.9423296947,8774.045363759886,13886.862993697112,9706.55328547514,9080.346653188522,9831.039640860865,7420.507196858596,10540.195506108774,8655.061471831976
7298.840331336785,9390.58758755037,8964.170485000886,14091.57993665883,10046.597989865522,9205.000007865747,10095.626879319583,7563.977128237117,10725.437046770707,8854.602252359788
7176.68440862831,9210.9423296947,8783.556954162603,13943.727755168433,9810.593912270693,9032.406800829334,9930.259939794163,7412.536053943742,10509.320408719728,8630.11840457556
6983.26946378402,9047.627670819664,8639.953210588179,13749.15854219183,9716.16817573959,8821.457217193263,9864.118031833708,7285.010343138355,10243.809493233297,8405.635809299169
7232.672469841901,9374.25602533988,8906.674195331174,14034.770842424517,9964.906733398706,9176.230852619208,10029.48361917865,7516.153172863134,10645.163150110038,8704.94635383697
7247.941329930319,9480.409734863277,8887.62467210269,14029.058840812611,9883.688170587042,9243.351889753098,9839.308900558957,7508.183964691707,10799.530723841968,8555.29108156807
7579.536097240706,9823.374467743262,9257.467023237705,14646.817178203319,10109.586773466555,9713.192407621864,10246.185414367255,7795.607996991087,11194.71094388356,8804.715491593042
7548.911822711139,9798.875679582745,9171.398424406992,14434.545783858512,10119.738387602394,9617.30371347887,10196.080366846563,7715.7364678240565,11040.34337015163,8692.474507081804
7650.993858254391,9896.86505284568,9200.087957350563,14302.58999287731,10216.188608911536,9713.192407621864,10262.886195420502,7715.7364678240565,11163.839237871643,8692.474507081804
7584.640283051221,9619.229458497219,9091.07115667999,14120.964091373562,10033.441663670743,9607.717241244469,10112.576461580327,7602.629916086308,11003.294835927434,8692.474507081804
7941.9257267855555,9978.52190066827,9437.037394123216,14155.532087817375,10272.031432056501,9981.669064970243,10446.598843547648,7891.950480628962,11281.157146920335,9029.199965631184
7967.444975171085,9945.859739477148,9379.37646430944,14279.86689827858,10089.281661953226,9818.664577524385,10371.442624447085,7779.434993007838,10929.202289315217,8829.658558849456
8269.402859839847,10205.792132300006,9690.531848252891,15062.242759661185,10356.176552398469,10291.943550308828,10748.577252605905,8103.924839861287,11750.463827345442,9035.324728938516
8207.921538395218,10197.613347591703,9709.875089498382,15159.420104887937,10299.589848800177,10311.382431922526,10875.025733684673,8103.924839861287,11660.073452706793,9035.324728938516
8402.615891026222,10295.746242103201,9806.587344362379,15293.039124291907,10384.475083112162,10447.441119081484,11018.341990105419,8177.303370090879,11795.655058058115,9161.871231673618
8479.469433582433,10393.877210154986,9967.874756530155,15599.988269148105,10595.824702593769,10525.192899942685,11136.367062911886,8303.622768370196,11892.50035383368,9313.725907698688
8120.820968875979,10099.483342769776,9676.983940078362,15148.877273293821,10405.233114243276,10175.325243001002,10908.747086473631,8058.197662675162,11440.55978523087,9047.979441837419
8105.449588097919,10107.658274558653,9647.892685183282,15161.064324985873,10487.654126851014,10214.19851151609,10807.58640855795,8066.379208937587,11440.55978523087,9123.907092976913
8079.5731979656875,10115.834169577387,9754.449762101576,15232.439226991171,10819.899385931394,10194.761128139828,11191.555632930327,8115.467035454561,11421.190499983946,9187.180031217504
8274.633936012133,10336.633423035719,9988.321086740856,15758.327614995615,11049.122851951028,10408.567850566398,11472.621218754066,8303.622768370196,11731.093411639476,9465.579331215926
8449.160284123487,10541.077996767015,10192.958907400587,16033.504344895737,11103.210493874474,10661.24933974549,11677.03169342012,8516.328460617524,12060.362217164798,9769.288683266068
8767.417277778211,10786.405898511406,10573.146586627849,16582.59375109468,11420.004696804684,11088.8657810735,12017.717620770843,8786.300623529112,12473.566476191854,10098.306834860097
8988.140120908867,10966.317007807364,10768.93928018802,15999.56769638383,11620.894792140027,11292.95718284617,12213.613414982497,8958.096166035039,12809.294724690264,10250.160258377335
8993.272878059119,11056.27304407027,10857.052709607977,16015.470875580468,11278.350084453972,11088.8657810735,12409.507857013676,8647.222559727465,12047.452374890967,10199.542659289562
